Date,Close,changePrevClose,changePrevClosePct,type,yldPct
1/18/18,,,,NAV,
1/19/18,,,,NAV,
1/22/18,,,,NAV,
1/23/18,,,,NAV,
1/24/18,,,,NAV,
1/25/18,,,,NAV,
1/26/18,,,,NAV,
1/29/18,,,,NAV,
1/30/18,,,,NAV,
1/31/18,19.39,,,NAV,
2/1/18,,,,NAV,
2/2/18,,,,NAV,
2/5/18,,,,NAV,
2/6/18,,,,NAV,
2/7/18,,,,NAV,
2/8/18,,,,NAV,
2/9/18,,,,NAV,
2/12/18,,,,NAV,
2/13/18,,,,NAV,
2/14/18,,,,NAV,
2/15/18,,,,NAV,
2/16/18,,,,NAV,
2/20/18,,,,NAV,
2/21/18,,,,NAV,
2/22/18,,,,NAV,
2/23/18,,,,NAV,
2/26/18,,,,NAV,
2/27/18,,,,NAV,
2/28/18,18.59,,,NAV,
3/1/18,,,,NAV,
3/2/18,,,,NAV,
3/5/18,,,,NAV,
3/6/18,,,,NAV,
3/7/18,,,,NAV,
3/8/18,,,,NAV,
3/9/18,,,,NAV,
3/12/18,,,,NAV,
3/13/18,,,,NAV,
3/14/18,,,,NAV,
3/15/18,,,,NAV,
3/16/18,,,,NAV,
3/19/18,,,,NAV,
3/20/18,,,,NAV,
3/21/18,,,,NAV,
3/22/18,,,,NAV,
3/23/18,,,,NAV,
3/26/18,,,,NAV,
3/27/18,,,,NAV,
3/28/18,,,,NAV,
3/29/18,18.43,,,NAV,
4/2/18,,,,NAV,
4/3/18,,,,NAV,
4/4/18,,,,NAV,
4/5/18,,,,NAV,
4/6/18,,,,NAV,
4/9/18,,,,NAV,
4/10/18,,,,NAV,
4/11/18,,,,NAV,
4/12/18,,,,NAV,
4/13/18,,,,NAV,
4/16/18,,,,NAV,
4/17/18,,,,NAV,
4/18/18,,,,NAV,
4/19/18,,,,NAV,
4/20/18,,,,NAV,
4/23/18,,,,NAV,
4/24/18,,,,NAV,
4/25/18,,,,NAV,
4/26/18,,,,NAV,
4/27/18,,,,NAV,
4/30/18,18.57,,,NAV,
5/1/18,,,,NAV,
5/2/18,,,,NAV,
5/3/18,,,,NAV,
5/4/18,,,,NAV,
5/7/18,,,,NAV,
5/8/18,,,,NAV,
5/9/18,,,,NAV,
5/10/18,,,,NAV,
5/11/18,,,,NAV,
5/14/18,,,,NAV,
5/15/18,,,,NAV,
5/16/18,,,,NAV,
5/17/18,,,,NAV,
5/18/18,,,,NAV,
5/21/18,,,,NAV,
5/22/18,,,,NAV,
5/23/18,,,,NAV,
5/24/18,,,,NAV,
5/25/18,,,,NAV,
5/29/18,,,,NAV,
5/30/18,,,,NAV,
5/31/18,18.75,,,NAV,
6/1/18,,,,NAV,
6/4/18,,,,NAV,
6/5/18,,,,NAV,
6/6/18,,,,NAV,
6/7/18,,,,NAV,
6/8/18,,,,NAV,
6/11/18,,,,NAV,
6/12/18,,,,NAV,
6/13/18,19.05,,,NAV,
6/14/18,,,,NAV,
6/15/18,,,,NAV,
6/18/18,,,,NAV,
6/19/18,,,,NAV,
6/20/18,,,,NAV,
6/21/18,,,,NAV,
6/22/18,,,,NAV,
6/25/18,,,,NAV,
6/26/18,18.7,,,NAV,
6/27/18,,,,NAV,
